aX,aY,aZ,gX,gY,gZ
-0.355,-0.853,0.037,-116.699,129.822,43.823
-0.365,-0.760,-0.091,-120.850,120.056,49.561
-0.371,-0.661,-0.201,-124.939,109.009,55.664
-0.353,-0.535,-0.396,-132.141,101.807,60.303
-0.298,-0.347,-0.674,-149.048,94.849,63.904
-0.294,-0.105,-0.988,-167.358,82.886,66.040
-0.307,0.104,-1.289,-173.096,70.862,65.674
-0.301,0.296,-1.624,-161.377,57.800,62.317
-0.289,0.449,-1.943,-142.395,39.612,56.458
-0.321,0.552,-2.164,-124.451,16.052,49.744
-0.383,0.634,-2.326,-106.812,-11.169,41.260
-0.434,0.613,-2.474,-87.158,-36.682,29.541
-0.444,0.488,-2.521,-65.430,-62.012,16.541
-0.519,0.334,-2.531,-40.222,-91.980,4.395
-0.440,0.085,-2.271,-9.521,-106.323,0.488
-0.521,-0.096,-2.075,17.517,-136.169,-8.850
-0.620,-0.272,-1.700,45.105,-168.518,-8.728
-0.671,-0.355,-1.280,70.374,-187.134,-7.385
-0.711,-0.377,-0.784,89.478,-210.205,-6.409
-0.696,-0.313,-0.146,105.774,-234.680,-2.441
-0.665,-0.303,0.423,116.333,-254.028,2.075
-0.600,-0.195,1.020,122.986,-261.414,-2.686
-0.533,-0.157,1.503,128.784,-250.000,-10.437
-0.456,-0.155,1.944,127.930,-226.318,-11.292
-0.406,-0.152,2.320,125.366,-202.148,-13.550
-0.296,-0.176,2.540,118.958,-176.086,-17.456
-0.240,-0.221,2.592,102.539,-142.395,-21.423
-0.109,-0.279,2.533,86.121,-107.788,-21.179
-0.046,-0.285,2.510,73.120,-83.130,-15.564
-0.038,-0.275,2.426,67.017,-66.162,-6.165
-0.082,-0.250,2.393,67.566,-48.767,2.197
-0.151,-0.218,2.383,70.129,-35.339,5.371
-0.193,-0.211,2.254,64.026,-25.085,1.587
-0.200,-0.256,2.045,41.626,-16.907,-5.676
-0.175,-0.341,1.808,18.677,-14.648,-11.169
-0.137,-0.416,1.595,9.766,-14.526,-13.184
-0.130,-0.455,1.440,13.977,-14.221,-11.475
-0.175,-0.447,1.401,25.024,-16.479,-8.057
-0.199,-0.432,1.446,36.804,-20.813,-5.615
-0.129,-0.415,1.401,42.175,-22.644,-6.165
-0.118,-0.485,1.617,43.030,-16.907,-5.798
-0.147,-0.500,1.632,41.748,-24.658,-4.089
-0.090,-0.465,1.690,30.151,-19.287,3.662
-0.053,-0.421,1.635,19.592,-6.592,11.047
-0.080,-0.344,1.565,13.245,2.258,17.029
-0.120,-0.232,1.535,11.292,5.676,23.499
-0.158,-0.148,1.484,13.245,8.423,24.963
-0.182,-0.139,1.433,15.869,11.108,21.423
-0.179,-0.168,1.402,19.531,12.146,14.893
-0.156,-0.220,1.395,22.461,11.230,8.240
-0.124,-0.278,1.354,20.508,10.803,3.723
-0.108,-0.326,1.276,9.094,11.353,2.197
-0.108,-0.363,1.186,-5.371,10.498,3.357
-0.111,-0.377,1.078,-16.785,8.972,5.249
-0.104,-0.369,0.995,-22.339,7.324,7.812
-0.123,-0.341,0.934,-18.005,6.409,10.681
-0.145,-0.287,0.869,-7.324,7.385,12.817
-0.167,-0.232,0.829,0.854,5.981,13.672
-0.186,-0.194,0.824,3.174,1.221,13.672
-0.188,-0.183,0.832,0.122,-3.967,11.841
-0.170,-0.188,0.833,-5.920,-8.301,8.789
-0.171,-0.180,0.834,-9.766,-10.071,6.592
-0.194,-0.171,0.846,-7.874,-9.583,4.883
-0.190,-0.167,0.866,-3.052,-8.118,2.136
-0.175,-0.188,0.872,-0.366,-6.470,-0.427
-0.181,-0.232,0.875,-0.366,-4.944,-1.465
-0.173,-0.276,0.868,0.549,-3.296,-1.099
-0.155,-0.304,0.859,3.906,-1.526,-0.305
-0.147,-0.298,0.860,6.165,-0.732,0.549
-0.138,-0.281,0.880,5.310,-1.831,2.258
-0.127,-0.263,0.915,4.089,-2.625,3.296
-0.119,-0.240,0.945,4.028,-1.465,3.845
-0.127,-0.216,0.959,4.883,1.404,4.578
-0.145,-0.192,0.969,5.859,4.456,4.822
-0.167,-0.198,0.975,5.920,5.920,3.845
-0.165,-0.227,1.004,3.296,6.165,1.892
