aX,aY,aZ,gX,gY,gZ
0.199,0.476,-1.065,6.226,23.987,25.818
0.182,0.486,-1.130,7.812,23.987,19.897
0.165,0.502,-1.217,5.798,19.958,14.648
0.122,0.505,-1.246,4.333,15.503,9.827
0.119,0.495,-1.229,3.662,12.024,3.967
0.119,0.456,-1.148,7.080,7.935,-0.854
0.131,0.423,-1.048,13.489,5.371,-2.075
0.125,0.390,-0.976,19.226,2.136,-1.953
0.140,0.386,-0.906,22.034,-1.404,-2.930
0.146,0.383,-0.873,23.499,-3.662,-3.418
0.141,0.383,-0.846,23.560,-5.920,-3.784
0.152,0.367,-0.840,20.142,-7.019,-5.310
0.176,0.361,-0.852,14.404,-6.470,-7.019
0.206,0.335,-0.884,9.583,-5.066,-8.423
0.231,0.316,-0.896,6.226,-5.127,-7.019
0.242,0.306,-0.916,4.944,-5.981,-4.150
0.233,0.300,-0.928,6.165,-5.066,-0.366
0.213,0.331,-0.955,7.690,-2.014,4.578
0.198,0.359,-0.995,9.949,3.906,9.949
0.205,0.395,-1.049,13.489,12.390,14.648
0.178,0.458,-1.093,18.677,20.752,18.311
0.150,0.485,-1.125,24.902,29.846,20.874
0.117,0.509,-1.160,28.931,35.522,19.897
0.103,0.541,-1.193,29.663,34.912,15.930
0.085,0.547,-1.219,28.809,26.978,10.071
0.093,0.572,-1.238,27.649,16.541,5.066
0.072,0.569,-1.292,27.832,9.216,4.211
0.078,0.591,-1.390,28.259,8.301,7.446
0.021,0.681,-1.571,25.208,7.935,14.404
-0.058,0.870,-1.777,17.395,2.991,19.653
-0.136,1.054,-1.966,15.137,0.061,18.433
-0.177,1.198,-2.095,25.696,-5.920,5.981
-0.167,1.233,-2.155,46.631,-18.188,-15.259
-0.130,1.150,-2.182,70.923,-35.706,-36.804
-0.175,1.028,-2.187,92.285,-51.208,-49.438
-0.206,0.967,-2.209,109.192,-61.951,-48.706
-0.276,1.006,-2.208,123.413,-71.045,-55.481
-0.383,1.023,-2.187,138.855,-82.825,-68.542
-0.451,1.002,-2.147,151.550,-99.487,-85.693
-0.485,0.925,-2.049,165.405,-117.798,-104.431
-0.537,0.777,-1.914,186.768,-129.456,-122.803
-0.576,0.637,-1.783,212.341,-134.033,-140.320
-0.602,0.523,-1.659,232.910,-136.780,-156.494
-0.615,0.448,-1.567,245.605,-140.381,-170.898
-0.626,0.363,-1.466,252.930,-147.705,-186.340
-0.618,0.267,-1.342,258.423,-159.485,-202.759
-0.614,0.143,-1.171,265.320,-173.767,-219.910
-0.596,-0.008,-1.017,271.179,-185.974,-235.168
-0.561,-0.141,-0.898,272.339,-192.932,-245.239
-0.520,-0.232,-0.813,268.799,-195.007,-249.634
-0.484,-0.225,-0.732,265.320,-193.542,-247.437
-0.450,-0.174,-0.626,265.137,-191.345,-241.760
-0.455,-0.169,-0.513,268.066,-189.514,-240.295
-0.449,-0.180,-0.396,270.630,-188.904,-246.704
-0.414,-0.225,-0.299,270.691,-188.721,-258.667
-0.364,-0.292,-0.223,265.686,-188.721,-270.569
-0.276,-0.341,-0.151,256.531,-189.026,-279.053
-0.174,-0.395,-0.086,248.413,-187.073,-282.288
-0.088,-0.427,-0.021,244.568,-181.641,-280.579
0.132,-1.778,1.144,118.408,-137.573,-176.208
0.188,-2.151,1.375,84.656,-143.311,-178.833
0.327,-2.515,1.732,57.251,-137.878,-169.312
0.541,-2.709,2.043,41.321,-121.765,-141.541
0.855,-2.771,2.259,39.429,-86.792,-101.196
1.227,-2.696,2.206,31.250,-39.612,-55.725
1.419,-2.572,1.934,-6.042,16.663,-8.728
1.073,-2.347,1.657,-63.721,60.242,51.453
0.830,-2.072,1.344,-105.347,100.098,120.911
0.672,-1.799,1.023,-121.338,127.563,184.692
0.493,-1.510,0.842,-130.127,137.695,223.389
