aX,aY,aZ,gX,gY,gZ
0.291,-0.489,1.121,53.223,245.056,124.512
0.287,-0.353,0.816,48.523,255.676,131.775
0.255,-0.224,0.530,43.518,258.301,134.033
0.224,-0.070,0.275,46.326,258.301,134.094
0.156,0.135,0.060,64.941,265.320,138.977
0.075,0.349,-0.147,96.558,290.527,147.522
-0.014,0.552,-0.367,128.967,316.101,154.724
-0.038,0.715,-0.696,152.283,326.843,156.433
0.087,0.897,-1.186,150.452,313.354,138.184
0.449,1.147,-1.869,112.366,269.653,102.478
0.950,1.359,-2.539,39.612,183.044,47.729
1.223,1.426,-2.835,-37.964,55.725,-9.460
1.326,1.493,-2.609,-70.740,-77.148,-66.467
1.274,1.339,-2.088,-93.872,-173.157,-124.329
1.347,0.985,-1.517,-105.469,-212.097,-168.579
1.237,0.482,-1.251,-73.486,-210.205,-190.491
1.121,0.138,-0.887,-13.062,-202.576,-188.965
1.047,-0.205,-0.475,15.076,-196.106,-178.223
1.085,-0.567,-0.156,24.292,-191.528,-164.551
1.069,-0.861,0.146,20.996,-197.449,-150.024
1.021,-1.066,0.489,6.958,-204.529,-133.118
0.937,-1.160,0.859,-12.268,-210.937,-116.211
0.854,-1.188,1.188,-32.654,-212.891,-98.389
0.721,-1.166,1.502,-55.298,-209.595,-81.482
0.625,-1.142,1.798,-73.181,-195.557,-64.392
0.508,-1.126,2.020,-76.721,-161.499,-48.462
0.388,-1.089,2.188,-69.397,-104.126,-27.405
0.299,-1.089,2.221,-49.133,-29.785,0.427
0.323,-1.034,2.025,-16.846,47.119,31.494
0.389,-0.939,1.715,0.977,114.563,61.401
0.414,-0.825,1.404,-2.686,156.128,88.257
0.397,-0.658,1.063,-13.367,177.002,102.844
0.393,-0.457,0.749,-19.104,189.209,113.098
0.408,-0.265,0.418,-19.348,206.482,121.338
0.365,0.006,0.126,-10.925,221.436,128.052
0.372,0.229,-0.150,12.268,234.009,124.512
0.344,0.393,-0.481,37.537,240.295,109.741
0.382,0.524,-0.832,43.335,232.910,86.609
0.331,0.521,-1.298,33.325,199.768,57.373
0.601,0.797,-1.692,62.073,128.052,27.588
1.084,1.118,-1.730,65.613,35.095,-10.193
1.292,1.165,-1.883,52.795,-24.353,-47.668
1.359,1.147,-1.866,-5.554,-50.659,-77.698
1.311,0.870,-1.784,-32.654,-86.792,-97.107
1.173,0.512,-1.579,-30.273,-125.732,-111.023
1.057,0.230,-1.387,-47.241,-155.090,-113.464
1.090,0.025,-0.047,-98.816,-174.438,-105.408
1.216,-0.210,0.052,-130.798,-171.204,-97.595
1.040,-0.626,0.170,-65.552,-180.908,-100.159
1.097,-0.754,0.538,-42.297,-195.679,-92.834
1.043,-0.856,0.684,-6.165,-199.829,-85.815
0.907,-0.995,0.912,2.930,-203.430,-84.778
0.694,-1.084,1.426,-33.691,-194.946,-83.374
0.640,-1.136,1.659,-40.466,-171.265,-69.458
0.593,-1.169,1.806,-41.870,-136.292,-54.993
0.545,-1.161,1.900,-46.326,-91.187,-34.973
0.501,-1.085,1.862,-40.955,-36.499,-12.512
0.483,-0.939,1.724,-27.222,19.043,12.329
0.500,-0.768,1.527,-14.038,69.946,35.767
0.505,-0.655,1.294,-1.770,108.521,57.190
0.525,-0.573,1.046,10.193,139.893,72.937
0.531,-0.497,0.776,23.132,167.236,85.938
0.954,1.020,-1.924,-26.123,71.533,39.734
1.060,1.080,-1.919,-83.740,-7.812,-10.376
1.128,1.006,-1.860,-103.699,-73.853,-64.270
1.147,0.778,-1.702,-98.450,-132.324,-108.582
1.120,0.481,-1.318,-101.685,-175.110,-139.526
1.118,0.192,-0.901,-89.111,-203.918,-153.259
1.086,-0.118,-0.532,-48.035,-217.773,-155.945
1.007,-0.441,-0.139,-12.939,-220.398,-149.536
0.968,-0.783,0.301,5.432,-221.802,-132.812
0.925,-1.100,0.778,16.785,-221.741,-111.572
0.822,-1.338,1.222,24.048,-212.708,-89.722
0.662,-1.438,1.729,5.249,-196.228,-69.275
0.492,-1.475,2.185,-27.832,-172.974,-49.377
0.408,-1.458,2.425,-49.316,-135.925,-32.776
0.380,-1.350,2.447,-54.871,-84.106,-15.991
0.306,-1.154,2.324,-47.852,-21.912,6.409
0.275,-0.913,2.123,-30.640,50.415,31.555
0.261,-0.767,1.840,-6.653,118.347,59.387
0.318,-0.693,1.471,17.944,170.532,82.703
0.376,-0.612,1.085,34.302,205.566,99.060
0.378,-0.455,0.734,46.448,226.318,113.892
0.369,-0.228,0.349,63.660,240.234,129.150
0.333,0.085,-0.105,81.543,246.094,142.395
0.372,0.498,-0.613,91.187,240.295,142.212
0.555,0.963,-1.279,88.928,219.910,123.108
0.889,1.337,-1.962,58.411,174.011,77.759
1.162,1.459,-2.448,0.061,96.680,8.972
1.237,1.309,-2.597,-52.002,-4.883,-58.594
1.242,1.005,-2.370,-70.068,-103.882,-102.844
1.244,0.701,-1.966,-55.847,-170.288,-125.427
1.150,0.484,-1.553,-33.386,-197.327,-135.864
0.993,0.318,-1.119,0.305,-200.500,-134.338
0.900,0.065,-0.673,38.147,-195.618,-125.854
0.848,-0.300,-0.232,70.374,-187.500,-113.831
0.770,-0.720,0.254,85.876,-180.786,-101.807
0.728,-1.151,0.781,88.989,-175.232,-91.248
0.634,-1.564,1.294,84.412,-166.870,-80.383
0.528,-1.863,1.803,54.016,-157.654,-65.552
0.478,-1.987,2.177,9.888,-139.038,-51.880
0.454,-1.936,2.366,-24.414,-111.572,-32.104
0.381,-1.748,2.384,-43.030,-71.045,-7.019
0.321,-1.498,2.297,-42.847,-15.442,18.799
0.307,-1.317,2.093,-26.306,54.626,50.293
0.303,-1.156,1.827,-3.174,120.300,84.167
0.275,-0.972,1.523,14.526,169.617,113.953
0.311,-0.801,1.169,22.949,208.374,135.315
0.327,-0.652,0.805,28.931,236.755,149.658
0.335,-0.465,0.447,30.029,248.169,160.950
0.301,-0.222,0.115,37.720,257.141,170.471
0.283,0.091,-0.243,45.654,260.742,176.270
0.274,0.482,-0.662,50.171,256.165,174.866
0.411,0.987,-1.196,41.992,233.154,157.959
0.666,1.490,-1.804,26.917,192.017,115.845
0.977,1.882,-2.356,-7.019,114.380,50.232
1.210,2.029,-2.663,-48.462,12.329,-33.508
1.252,1.835,-2.630,-69.031,-90.027,-115.662
1.193,1.370,-2.270,-57.861,-172.607,-169.006
1.064,0.900,-1.785,-25.085,-218.018,-186.279
0.916,0.478,-1.262,14.832,-225.159,-182.617
0.795,0.066,-0.792,56.763,-215.149,-168.701
0.709,-0.374,-0.315,89.417,-201.904,-150.696
0.697,-0.851,0.204,108.521,-187.866,-133.789
0.642,-1.274,0.668,121.216,-170.959,-117.737
0.580,-1.651,1.165,110.962,-153.687,-99.731
0.537,-1.994,1.703,68.237,-136.536,-84.290
0.551,-2.227,2.137,12.024,-113.770,-72.693
0.588,-2.299,2.346,-35.767,-85.388,-54.932
0.589,-2.213,2.393,-62.683,-53.589,-27.100
0.538,-1.987,2.328,-67.932,-13.123,3.967
0.449,-1.700,2.116,-56.213,41.931,41.687
0.397,-1.485,1.861,-36.987,105.713,79.285
0.358,-1.271,1.553,-21.423,157.898,111.816
0.374,-1.049,1.133,-11.658,195.435,136.230
0.406,-0.771,0.653,1.221,221.619,155.579
0.376,-0.365,0.209,16.785,234.863,172.058
0.338,0.168,-0.283,33.508,237.122,181.885
0.374,0.744,-0.874,44.983,226.013,176.086
0.510,1.327,-1.546,38.452,195.129,145.508
0.841,1.761,-2.114,0.122,137.939,86.426
1.080,1.922,-2.427,-51.880,45.837,4.028
1.145,1.809,-2.528,-87.097,-69.214,-82.397
1.170,1.356,-2.354,-96.741,-175.903,-145.996
1.172,0.826,-1.877,-80.322,-250.916,-169.922
1.066,0.451,-1.382,-41.199,-279.419,-170.349
0.890,0.188,-0.926,9.705,-257.629,-152.100
0.747,-0.114,-0.475,61.523,-211.304,-122.314
