aX,aY,aZ,gX,gY,gZ
0.652,-4.000,1.518,-7.568,209.961,168.274
-0.315,-3.427,0.403,-39.429,296.509,228.638
-0.937,-2.568,-0.380,-59.753,255.920,227.295
-1.227,-1.891,-0.514,-74.829,121.277,201.416
-1.366,-1.306,-0.157,-84.106,-18.616,175.720
-1.445,-0.710,0.323,-81.726,-92.041,154.907
-1.424,-0.212,0.504,-67.505,-81.848,133.057
-1.401,0.159,0.426,-45.288,-21.057,110.840
-1.409,0.488,0.313,-11.414,37.231,94.604
-1.412,0.866,0.339,32.898,64.697,84.961
-1.341,1.298,0.495,66.833,64.392,80.200
-1.263,1.682,0.643,71.838,52.124,73.486
-1.242,1.934,0.776,58.777,44.617,65.369
-1.265,2.011,0.906,53.223,41.809,52.307
-1.223,1.946,0.912,57.129,36.865,28.809
-1.070,1.772,0.975,51.941,21.057,-2.197
-0.853,1.555,1.133,41.077,-8.240,-28.198
-0.665,1.358,1.303,26.123,-33.325,-40.466
-0.519,1.163,1.385,12.207,-36.011,-44.556
-0.416,0.943,1.338,8.789,-20.081,-47.852
-0.335,0.744,1.237,12.878,-2.380,-55.298
-0.210,0.520,1.122,14.893,5.859,-67.200
-0.068,0.247,1.055,10.437,2.380,-78.064
0.094,-0.028,1.090,5.737,-8.667,-82.825
0.260,-0.240,1.178,4.456,-17.700,-74.097
0.356,-0.354,1.226,2.563,-16.174,-55.908
0.386,-0.401,1.203,-1.099,-4.761,-37.781
0.353,-0.367,1.098,-5.310,10.193,-18.738
0.247,-0.346,0.949,-8.240,25.574,0.793
0.135,-0.321,0.887,-6.775,31.799,13.245
0.050,-0.257,0.898,1.770,31.311,18.616
0.005,-0.222,0.906,9.827,29.785,16.479
-0.038,-0.224,0.910,10.864,27.893,11.658
-0.064,-0.225,0.934,8.301,24.292,8.545
-0.092,-0.244,0.985,6.226,20.508,10.071
-0.135,-0.240,1.032,3.967,18.311,13.733
-0.157,-0.244,1.040,2.991,19.226,16.296
-0.180,-0.259,1.050,1.770,20.752,19.470
-0.208,-0.264,1.069,-0.305,20.935,21.423
-0.217,-0.265,1.056,-2.136,20.874,19.226
-0.213,-0.265,1.002,-3.845,20.386,14.587
-0.201,-0.246,0.971,-4.700,17.212,10.376
-0.210,-0.201,0.973,-5.737,11.047,9.094
-0.223,-0.169,0.967,-6.958,6.592,8.301
-0.230,-0.164,0.962,-7.996,3.967,7.141
-0.234,-0.158,0.968,-7.996,2.563,6.714
-0.234,-0.147,0.994,-5.615,2.991,6.042
-0.224,-0.152,1.005,-3.357,5.737,4.944
-0.203,-0.171,1.002,-2.869,8.728,4.028
-0.193,-0.199,0.977,-4.578,9.216,2.136
-0.173,-0.241,0.955,-7.568,6.775,-0.977
